Autores,Nombre_Publicacion,Año_pub_edicion,Año_original,Desfasaje,Confianza,Nota
krotz esteban,nc,1987,1978.0,9.0,alta,"El artículo ""Pasos para el estudio y la exposición de un texto antropológico"" de Esteban Krotz fue publicado originalmente en 1978 en la revista ""Hoja de Viento"", Revista estudiantil del Departamento "
"laclau ernesto, mouffé chantal",hegemonía y estrategia socialista,1987,1985.0,2.0,alta,"La obra ""Hegemonía y estrategia socialista: Hacia una política democrática radical"" de Ernesto Laclau y Chantal Mouffe fue publicada originalmente en inglés en 1985 por Verso."
calame-griaule geneviéve,etnología y lenguaje. la palabra del pueblo dogon,1982,1965.0,17.0,alta,"La primera edición original de ""Ethnologie et langage. La parole chez les Dogon"" de Geneviève Calame-Griaule fue publicada en 1965 por Gallimard en la colección ""Bibliothèque des sciences humaines""."
gumperz john,nc,1982,1982.0,0.0,alta,"Múltiples fuentes indican que la primera publicación de ""Discourse Strategies"" de John J. Gumperz fue en 1982 por Cambridge University Press."
harris marvin,caníbales y reyes,1986,1977.0,9.0,alta,"La primera edición original de ""Caníbales y reyes"" de Marvin Harris fue publicada en 1977 por Random House."
halperin donghi tulio,"reforma y disolución de los imperios ibéricos, 1750-1850",1985,1985.0,0.0,alta,"La edición que tengo registrada (1985) es la primera publicación original en español de la obra ""Reforma y disolución de los imperios ibéricos, 1750-1850"" de Tulio Halperin Donghi."
"henri hubert, mauss marcel",sociología y antropología,1971,1904.0,67.0,alta,"El artículo ""Esquisse d'une théorie générale de la magie"" de Henri Hubert y Marcel Mauss fue publicado originalmente en francés en L'Année Sociologique, T. 7 (1902-1903), en 1904."
heidegger martin,nc,1958,1951.0,7.0,alta,"El texto ""Construir Habitar Pensar"" (Bauen Wohnen Denken en alemán) de Martin Heidegger fue presentado por primera vez como una conferencia en Darmstadt en 1951."
hayek friedrich,camino de servidumbre,NC,1944.0,,alta,"La obra ""Camino de servidumbre"" (The Road to Serfdom) de Friedrich Hayek fue publicada originalmente en inglés en marzo de 1944 en el Reino Unido por Routledge."
canguilhem georges,lo normal y lo patológico,1971,1943.0,28.0,alta,"La obra ""Lo normal y lo patológico"" de Georges Canguilhem se publicó originalmente en francés en 1943 como su tesis de medicina, titulada ""Essai sur quelques problèmes concernant le normal et le patho"
camus albert,nc,1949,1942.0,7.0,alta,"La primera edición original de ""El Extranjero"" de Albert Camus fue publicada en francés en 1942 por Gallimard."
camilo torres,nc,NC,1965.0,,alta,"El ""Mensaje a los estudiantes"" de Camilo Torres fue publicado originalmente en el periódico Frente Unido N° 9, el 21 de octubre de 1965."
hoggart richard,la cultura obrera en la sociedad de masas,1971,1957.0,14.0,alta,"La obra original de Richard Hoggart, ""The Uses of Literacy"", fue publicada en inglés en 1957. La edición que posees es una traducción al español."
ricoeur paul,nc,1975,1965.0,10.0,alta,"""Hermenéutica y psicoanálisis"" es un capítulo o parte de la obra original de Paul Ricoeur, *De l'interprétation. Essai sur Freud*, publicada en francés en 1965."
ricoeur paul,educación y política. de la historia personal a la comunión de libertades,1984,2008.0,-24.0,alta,"El capítulo ""La vida: un relato en busca de narrador"" fue publicado originalmente en francés como ""La vie : un récit en quête de narrateur"" en 2008, aunque se publicó previamente en inglés."
renan ernest,nc,1882,1882.0,0.0,alta,"La obra ""Qu'est-ce qu'une nation?"" de Ernest Renan fue originalmente una conferencia pronunciada en la Sorbona el 11 de marzo de 1882 y publicada ese mismo año."
romero josé luis,"latinoamérica, las ciudades y las ideas",1986,1976.0,10.0,alta,"Múltiples fuentes confirman que la primera publicación original de ""Latinoamérica, las ciudades y las ideas"" de José Luis Romero fue en 1976 por Siglo XXI Editores."
rubio javier,diwan,1978,1977.0,1.0,alta,"""El juego de Michel Foucault"" fue publicado originalmente en francés en la revista *Ornicar?*, número 10, en julio de 1977. La traducción al castellano por Javier Rubio para la Revista Diwan, Nros. 2 "
rosaldo renato,cultura y verdad. nueva propuesta de análisis social,1989,1989.0,0.0,alta,"La edición en español de Grijalbo de ""Cultura y verdad. Nueva propuesta de análisis social"" de Renato Rosaldo, publicada en 1991, indica que la primera edición original es de 1989."
roosevelt franklin delano,nc,1933,1933.0,0.0,alta,El discurso de toma de posesión de Franklin Delano Roosevelt fue pronunciado el 4 de marzo de 1933 y publicado ese mismo día o poco después.
baczko bronislaw,nc,1984,1984.0,0.0,alta,"La obra ""Les imaginaires sociaux. Mémoires et espoirs collectifs"" de Bronislaw Baczko fue publicada originalmente en francés por Payot en 1984."
bachrach peter,crítica de la teoría elitista de la democracia,1973,1967.0,6.0,alta,"La obra ""The Theory of Democratic Elitism: A Critique"" de Peter Bachrach fue publicada originalmente en 1967."
"azpiazu daniel, basualdo eduardo, khavisse miguel",el nuevo poder económico en la argentina de los años ochenta,1986,1986.0,0.0,alta,Múltiples fuentes citan la edición de Legasa de 1986 como la primera publicación de la obra.
sarmiento domingo faustino,nc,1899,1882.0,17.0,alta,"La ""Conferencia sobre Darwin"" de Sarmiento fue pronunciada en 1881 y publicada originalmente en 1882 por Augusto Belín. Posteriormente, se incluyó en la compilación ""Discursos Populares"" de 1883, arre"
graebner fritz,nc,1940,1911.0,29.0,alta,"La obra original de Fritz Graebner se titula ""Methode der Ethnologie"" y fue publicada en alemán en 1911."
gonzalo cárdenas,nc,NC,1969.0,,alta,"El artículo ""El movimiento nacional y la universidad"" de Gonzalo Cárdenas fue publicado en la revista Antropología 3er Mundo, número 3, en noviembre de 1969."
goldman marcio,religião e sociedade,1985,1985.0,0.0,alta,"El artículo ""A construção ritual da pessoa: a possessão no candomblé"" de Marcio Goldman fue publicado originalmente en la revista ""Religião e Sociedade"", volumen 12, número 1, en agosto de 1985. La re"
"grignon claude, passeron jean claude",lo culto y lo popular. miserabilismo y populismo en la sociología y en la literatura,1989,1989.0,0.0,alta,"La obra ""Lo culto y lo popular: miserabilismo y populismo en la sociología y en la literatura"" de Claude Grignon y Jean-Claude Passeron fue publicada originalmente en francés en 1989 bajo el título ""L"
carman maría,eure,,2019.0,,alta,"El artículo ""La fabricación de una comunidad moral. El caso de los afectados de la causa Matanza-Riachuelo"" de María Carman fue publicado originalmente en la Revista EURE, volumen 45, número 135, en m"
gusinde martin,los fueguinos,1951,1931.0,20.0,alta,"La obra original de Martin Gusinde, ""Die Feuerland-Indianer"", fue publicada en alemán en varios volúmenes entre 1931 y 1939, siendo el primer volumen (Die Selk'nam) de 1931. La edición en español ""Los"
sahlins marshall,economía de la edad de piedra,1974,1972.0,2.0,alta,"""Stone Age Economics"" de Marshall Sahlins fue publicado originalmente en 1972 en inglés."
sahlins marshall,cultura y razón práctica. contra el utilitarismo en la teoría antropológica,1988,1976.0,12.0,alta,"La obra ""Culture and Practical Reason"" de Marshall Sahlins fue publicada originalmente en inglés en 1976 por la University of Chicago Press. El capítulo ""La Pensée Bourgeoise: Western Society as Cultu"
sahlins marshall,antropología y economía,1976,1972.0,4.0,alta,"El capítulo ""La economía tribal"" de Marshall Sahlins es parte de su obra ""Stone Age Economics"", publicada originalmente en inglés en 1972. La edición de Anagrama de 1976 es una traducción al español d"
schmidt wilhelm,manual de historia comparada de las religiones. origen y formación de la religión. teorías y hechos,1932,1930.0,2.0,alta,"La obra original en alemán se titula ""Handbuch der vergleichenden Religionsgeschichte: Ursprung und Werden der Religion. Theorien und Tatsachen"" y fue publicada por Aschendorff en Münster en 1930."
"schkolnik susana, pantelides edith a.",la población de argentina,1974,1974.0,0.0,alta,"La obra ""La población de Argentina"" fue publicada en 1974 por CICRED como parte del Año Mundial de la Población, y el capítulo ""Los cambios en la composición de la población"" de Schkolnik y Pantelides"
sazbón josé,saussure y los fundamentos de la lingüística,1985,1977.0,8.0,alta,"La obra ""Saussure y los fundamentos de la lingüística"" de José Sazbón fue publicada originalmente en 1977."
say jean baptiste,nc,1981,1803.0,178.0,alta,"La primera edición original del ""Traité d'économie politique"" de Jean-Baptiste Say fue publicada en francés en 1803."
saussure ferdinand de,curso de lingüística general,1984,1916.0,68.0,alta,"El ""Curso de lingüística general"" fue publicado póstumamente en 1916 en francés, a partir de las notas de las conferencias de Saussure impartidas entre 1906 y 1911."
sartori giovanni,nc,1987,1976.0,11.0,alta,"La obra ""Parties and Party Systems: A Framework for Analysis"" de Giovanni Sartori fue publicada originalmente en inglés por Cambridge University Press en 1976."
schütz alfred,el problema de la realidad social. escritos i,1974,1962.0,12.0,alta,"La obra ""El problema de la realidad social. Escritos I"" de Alfred Schütz es el primer volumen de sus ""Collected Papers"", cuya primera publicación fue en 1962 por Martinus Nijhoff."
schvarzer jorge,la lógica política de la política económica,1983,1983.0,0.0,alta,"Múltiples fuentes indican que la obra ""La lógica política de la política económica"" de Jorge Schvarzer fue publicada originalmente en 1983 por el Centro de Investigaciones Sociales Sobre el Estado y l"
sherry ortner,nc,1984,1984.0,0.0,alta,"La obra ""Anthropological Theory Since the Sixties"" de Sherry Ortner fue publicada originalmente como un artículo en la revista Comparative Studies in Society and History en enero de 1984."
frobenius leo,paideuma. la cultura como ser viviente. contornos de una doctrina cultural y psicológica,1934,1921.0,13.0,alta,"La obra ""Paideuma. Umrisse einer Kultur- und Seelenlehre"" de Leo Frobenius fue publicada originalmente en alemán en 1921 por C. H. Beck'sche Verlagsbuchhandlung Oskar Beck en Múnich."
geertz clifford,el antropólogo como autor,1989,1988.0,1.0,alta,"La primera publicación original de ""Works and Lives: The Anthropologist as Author"" de Clifford Geertz fue en 1988 por Stanford University Press."
geertz clifford,la interpretación de las culturas,1973,1973.0,0.0,alta,"""The Interpretation of Cultures: Selected Essays"" de Clifford Geertz fue publicado originalmente en inglés por Basic Books en 1973."
"glaser barney, strauss anselm",the discovery of grounded theory strategies for qualitative research,1969,1967.0,2.0,alta,"La obra ""The Discovery of Grounded Theory: Strategies for Qualitative Research"" de Glaser y Strauss fue publicada originalmente en 1967 por Aldine Publishing Company."
giddens anthony,profiles and critiques in social theory,1982,1982.0,0.0,alta,"""Profiles and Critiques in Social Theory"" de Anthony Giddens fue publicado originalmente en 1982 por Macmillan."
cazeneuve jean,sociología de marcel mauss,1970,1968.0,2.0,alta,"La obra ""Sociologie de Marcel Mauss"" de Jean Cazeneuve fue publicada originalmente en francés en 1968 por Presses universitaires de France."
engels friedrich,nc,1975,1896.0,79.0,alta,El ensayo fue escrito por Friedrich Engels en 1876 y publicado por primera vez en 1896 en la revista Die Neue Zeit.
engels friedrich,la formación de la clase obrera en inglaterra,1978,1845.0,133.0,alta,"La obra de Friedrich Engels ""La formación de la clase obrera en Inglaterra"" fue publicada originalmente en alemán en 1845 bajo el título ""Die Lage der arbeitenden Klasse in England""."
engels friedrich,"el origen de la familia, de la propiedad privada y del estado",1971,1884.0,87.0,alta,"La obra ""El origen de la familia, la propiedad privada y el Estado"" de Friedrich Engels fue escrita en alemán entre marzo y mayo de 1884 y publicada por primera vez en octubre de 1884 en Hottingen-Zúr"
elias norbert,sociología fundamental,1966,1970.0,-4.0,alta,"La obra ""Sociología Fundamental"" de Norbert Elias es la traducción al español de ""Was ist Soziologie?"", publicada originalmente en alemán en 1970."
elias norbert,nc,1969,1969.0,0.0,alta,"La obra ""La sociedad cortesana"" de Norbert Elias se publicó originalmente en alemán en 1969 bajo el título ""Die höfische Gesellschaft"". Se basa en su tesis de habilitación de 1933, pero fue publicada "
elias norbert,el proceso de la civilización. investigaciones sociogenéticas y psicogenéticas,1987,1939.0,48.0,alta,"La obra ""El proceso de la civilización"" de Norbert Elias fue publicada originalmente en alemán en dos volúmenes en 1939 bajo el título ""Über den Prozeß der Zivilisation""."
fanon frantz,los condenados de la tierra,1983,1961.0,22.0,alta,"La obra ""Los condenados de la tierra"" de Frantz Fanon fue publicada originalmente en francés en 1961 bajo el título ""Les Damnés de la Terre"" por Éditions Maspero."
falcón ricardo,anuario,1987,1987.0,0.0,alta,"El artículo ""Izquierdas, régimen político, cuestión étnica y cuestión social en Argentina (1890-1912)"" de Ricardo Falcón fue publicado originalmente en el Anuario de la Escuela de Historia, Universida"
evans-pritchard edward,nc,1977,1940.0,37.0,alta,"""Los Nuer"" de E. E. Evans-Pritchard fue publicado originalmente en 1940 por Clarendon Press en inglés."
evans-pritchard edward,"brujería, magia y oráculos entre los azande",1976,1937.0,39.0,alta,"La obra ""Witchcraft, Oracles and Magic Among the Azande"" de E. E. Evans-Pritchard fue publicada originalmente en inglés por Oxford: The Clarendon Press en 1937."
florencio sánchez,nc,NC,1904.0,,alta,"La obra ""La Gringa"" de Florencio Sánchez fue estrenada en 1904."
foucault michel,la arqueología del saber,1983,1969.0,14.0,alta,"""La arqueología del saber"" (L'archéologie du savoir) de Michel Foucault fue publicada originalmente en francés en 1969 por Éditions Gallimard."
spivak gayatri,orbis tertius,1985,1985.0,0.0,alta,"El artículo ""Can the Subaltern Speak?"" de Gayatri Spivak se publicó por primera vez en la revista *Wedge* en 1985, bajo el título ""Can the Subaltern Speak?: Speculations on Widow Sacrifice""."
spencer herbert,la ciencia social,1947,1873.0,74.0,alta,"""The Study of Sociology"" de Herbert Spencer fue publicado originalmente en Londres por Henry S. King & Co. en 1873."
staller ilona,nc,1988,1987.0,1.0,alta,"La edición original de ""Confesiones"" de Ilona Staller se publicó en 1987 bajo el título ""Confessioni erotiche di Cicciolina"" por Olympia Press en italiano."
tarde gabriel,la opinión y la multitud,1986,1901.0,85.0,alta,"La obra ""L'Opinion et la Foule"" de Gabriel Tarde fue publicada originalmente en francés en 1901."
sábato ernesto,nc,1955,1956.0,-1.0,alta,"La ""Carta abierta de Ernesto Sábato a Mario Amadeo"" fue publicada en 1956, después del derrocamiento del gobierno de Juan Domingo Perón en septiembre de 1955."
swartz marc,alteridades,1966,1966.0,0.0,alta,"El capítulo ""Antropología política: una introducción"" de Marc J. Swartz, Victor W. Turner y Arthur Tuden es la introducción a la obra ""Political Anthropology"", publicada originalmente en inglés en 196"
arendt hannah,amor mundi,1987,1987.0,0.0,alta,"El capítulo ""Labor, Work, Action"" fue una conferencia dictada por Hannah Arendt en 1964 y publicado por primera vez en la compilación ""Amor Mundi: Explorations in the Faith and Thought of Hannah Arend"
arango joaquín,revista española de investigaciones sociológicas,1980,1980.0,0.0,alta,"El artículo ""La teoría de la transición demográfica y la experiencia histórica"" de Joaquín Arango fue publicado originalmente en la Revista Española de Investigaciones Sociológicas, número 10, en 1980"
antonio pozzo,nc,1879,1879.0,0.0,alta,"Antonio Pozzo acompañó la Expedición al Río Negro en 1879 como fotógrafo oficial, y el periódico La América del Sur de Buenos Aires comunicó el 11 de julio de 1879 que Pozzo había solicitado un privil"
dumont louis,ensayos sobre el individualismo,1987,1983.0,4.0,alta,"La obra ""Essais sur l'individualisme"" de Louis Dumont fue publicada originalmente en francés en 1983."
duchet michèle,antropología e historia en el siglo de las luces,1976,1971.0,5.0,alta,"La obra ""Anthropologie et histoire au siècle des Lumières"" de Michèle Duchet fue publicada por primera vez en 1971 por François Maspero en París."
clastres pierre,la sociedad contra el estado,1978,1974.0,4.0,alta,"La obra ""La Société contre l'État"" de Pierre Clastres fue publicada originalmente en francés por Les Éditions de Minuit en 1974."
clarke simon,"keynesianism, monetarism and the crisis of the state.",1988,1988.0,0.0,alta,"La obra ""Keynesianism, Monetarism and the Crisis of the State"" de Simon Clarke fue publicada originalmente en 1988 por Edward Elgar Publishing."
eco umberto,nc,1977,1975.0,2.0,alta,"La obra ""Trattato di semiotica generale"" de Umberto Eco fue publicada originalmente en italiano en 1975."
todorov tzvetan,la conquista de américa. el problema del otro,1987,1982.0,5.0,alta,"La obra ""La Conquête de l'Amérique : La Question de l'autre"" de Tzvetan Todorov fue publicada originalmente en francés en 1982 por Éditions du Seuil."
thompson edward palmer,miseria de la teoría,1981,1978.0,3.0,alta,"""The Poverty of Theory"" de E.P. Thompson fue publicado originalmente en 1978 por Merlin Press Ltd."
turner victor,el proceso ritual. estructura y antiestructura,1988,1969.0,19.0,alta,"""The Ritual Process: Structure and Anti-Structure"" de Victor Turner se publicó originalmente en 1969."
uexküll jacob von,nc,1942,1920.0,22.0,alta,"La obra ""Meditaciones biológicas. La teoría de la significación"" de Jakob von Uexküll, publicada en español en 1942, es una traducción de ""Staatsbiologie: Anatomie, Physiologie, Pathologie des Staates"
tönnies ferdinand,comunidad y sociedad,1947,1887.0,60.0,alta,"La obra ""Gemeinschaft und Gesellschaft"" de Ferdinand Tönnies fue publicada originalmente en alemán en 1887."
verón eliseo,nc,1987,1988.0,-1.0,alta,"""La semiosis social: fragmentos de una teoría de la discursividad"" fue publicada originalmente en 1988. La edición de Gedisa de 1993 es una reedición. ""El cuerpo de las imágenes"" es una obra posterior"
vernant jean-pierre,nc,1982,1962.0,20.0,alta,"La primera edición original de ""Les origines de la pensée grecque"" de Jean-Pierre Vernant fue publicada en francés en 1962 por Presses universitaires de France (PUF) dentro de la colección ""Mythes et "
"althusser louis, etienne balibar",para leer el capital,1988,1965.0,23.0,alta,"La obra ""Para leer el capital"" (Lire le Capital en francés) fue publicada originalmente en noviembre de 1965 en dos volúmenes por François Maspero en Francia."
althusser louis,nc,1984,1970.0,14.0,alta,"El ensayo ""Idéologie et appareils idéologiques d'État (Notes pour une recherche)"" de Louis Althusser fue publicado por primera vez en francés en la revista La Pensée, número 151, en junio de 1970."
althusser louis,la revolución teórica de marx,1987,1965.0,22.0,alta,"""La revolución teórica de Marx"" es la traducción al español de la obra ""Pour Marx"" de Louis Althusser, publicada originalmente en francés en 1965. El capítulo 6, ""Sobre la dialéctica materialista"", fu"
dawe alan,historia del análisis sociológico,1988,1978.0,10.0,alta,"El capítulo ""Las teorías de la acción social"" de Alan Dawe fue publicado originalmente en inglés en 1978 como parte de la obra ""A History of Sociological Analysis"", editada por Tom Bottomore y Robert "
de andrade oswald,nc,NC,1928.0,,alta,"El ""Manifiesto Antropófago"" de Oswald de Andrade fue publicado originalmente en mayo de 1928 en el primer número de la Revista de Antropofagia en Brasil."
courtine jean-jacques,langages,1981,1981.0,0.0,alta,"La obra ""Langages"" de Jean-Jacques Courtine, con el capítulo ""Analyse du discours politique"" (que incluye el concepto de ""formación discursiva""), fue publicada originalmente en francés en la revista L"
"abramovich ana luz, navarro federico",nc,NC,2012.0,,alta,"""La reseña académica"" de Federico Navarro y Ana Luz Abramovich fue publicada como un capítulo en el libro ""En carrera: escritura y lectura de textos académicos y profesionales"" en 2012 por la Universi"
zweig stefan,el mundo de ayer,1942,1942.0,0.0,alta,"La obra ""El mundo de ayer"" de Stefan Zweig fue publicada póstumamente en su idioma original (alemán) en 1942 en Estocolmo."
adorno theodor,prismas. crítica de la cultura y sociedad i,NC,1955.0,,alta,"""Prismas. Crítica de la cultura y sociedad"" se publicó originalmente en alemán en 1955. El capítulo ""Moda atemporal (sobre el jazz)"" fue publicado previamente en 1953."
adair jennifer,1983: un proceso inconcluso,2023,2023.0,0.0,alta,"La obra ""1983: Un proceso inconcluso"" de Jennifer Adair fue publicada por el Fondo de Cultura Económica en 2023, y no se encontraron registros de una publicación anterior en su idioma original."
alexander jeffrey c,las teorías sociológicas desde la segunda guerra mundial. análisis multidimensional,2000,1987.0,13.0,alta,"La obra original en inglés se titula ""Twenty Lectures: Sociological Theory since World War II"" y fue publicada por Columbia University Press en 1987. La edición en español de Gedisa, ""Las teorías soci"
almirón adrián alejandro,revista de la facultad de ciencias económicas,2019,2019.0,0.0,alta,"El artículo ""El consejo federal de inversiones en la provincia del chaco. proyectos, diagnósticos y planificación en los márgenes (1958- 1983)"" de Almirón Adrián Alejandro fue publicado en la Revista "
althabe gérard,antropología del presente,1999,1992.0,7.0,alta,"""Antropología del presente"" de 1999 es una compilación en español. El capítulo 4, ""Lo microsocial y la investigación antropológica de campo"", es una traducción del artículo original en francés ""Vers u"
wright pablo,encartes,2020,2020.0,0.0,alta,"El artículo ""Cuerpos viales, cultura y ciudadanía: reflexiones antropológicas"" de Pablo Wright fue publicado originalmente en la revista Encartes en 2020."
wright pablo,ser-en-el-sueño. crónicas de historia y vida toba,2008,2008.0,0.0,alta,"Múltiples fuentes indican que la primera publicación de ""Ser-en-el-sueño. Crónicas de historia y vida toba"" de Pablo Wright fue en 2008 por Editorial Biblos."
wright susan,anthropology of organizations,1994,1994.0,0.0,alta,"""Anthropology of Organizations"" editado por Susan Wright, que incluye el capítulo ""'Culture' in anthropology and organizational studies"" de la misma autora, fue publicado originalmente en 1994 por Rou"
wright susan,anthropology today,1998,1998.0,0.0,alta,"El artículo ""The Politicization of 'Culture'"" de Susan Wright fue publicado en la revista Anthropology Today, volumen 14, número 1, en febrero de 1998."
wright susan,constructores de otredad. una introducción a la antropología social y cultural,1999,1998.0,1.0,alta,"El capítulo ""La politización de la cultura"" de Susan Wright fue publicado originalmente en 1998 en la revista Anthropology Today Vol. 14 Nº 1, y luego incluido en la compilación ""Constructores de otre"
wulf andrea,la invención de la naturaleza. el nuevo mundo de alexander von humboldt,2015,2015.0,0.0,alta,"La obra ""La invención de la naturaleza: El nuevo mundo de Alexander von Humboldt"" de Andrea Wulf fue publicada originalmente en inglés en septiembre de 2015 con el título ""The Invention of Nature: Ale"
wyness michael,sociology,2014,2006.0,8.0,alta,"La primera edición de ""Childhood and Society: An Introduction to the Sociology of Childhood"" de Michael Wyness se publicó el 17 de abril de 2006."
yaschine iliana,desafíos y paradojas: los jóvenes frente a las desigualdades sociales,2014,2014.0,0.0,alta,"El capítulo ""Impacto del programa Oportunidades en el logro ocupacional de jóvenes de origen rural en México"" de Iliana Yaschine fue publicado como parte de la obra ""Desafíos y paradojas: los jóvenes "
zabludovsky gina,política y cultura,2013,2013.0,0.0,alta,"El artículo ""El concepto de individualización en la sociología clásica y contemporánea"" de Gina Zabludovsky fue publicado originalmente en la revista ""Política y Cultura"", número 39, en la primavera d"
zaffaroni raúl,nc,2012,2011.0,1.0,alta,"Varias fuentes indican que la primera edición de ""La Pachamama y el humano"" de Zaffaroni fue publicada en octubre de 2011 por Ediciones Madres de Plaza de Mayo / Colihue."
zanatta loris,historia de américa latina,2012,2010.0,2.0,alta,"La edición original en italiano, ""Storia dell'America Latina contemporanea"", fue publicada en 2010 por Gius. Laterza & Figli."
"albert bruce, kopenawa davi",la chute du ciel. paroles d'un chaman yanomami,2010,2010.0,0.0,alta,"La obra ""La chute du ciel. Paroles d'un chaman yanomami"" de Davi Kopenawa y Bruce Albert fue publicada originalmente en francés en 2010 por la editorial Plon."
"d'alessio gloria, deza rocio, lazzari axel cesar, rud mariana, sanguineti victoria, trevijano joaquín gómez",revista del museo de antropología,2023,2023.0,0.0,alta,"El artículo fue publicado en abril de 2023, lo que coincide con el año de edición registrado."
zelizer viviana,la intimidad como espectáculo,2005,2005.0,0.0,alta,"La obra ""The Purchase of Intimacy"" de Viviana A. Zelizer, que coincide con la descripción de la temática, fue publicada originalmente por Princeton University Press en 2005."
zelizer viviana,vidas económicas. cómo la cultura da forma a la economía,2015,2010.0,5.0,alta,"""Economic Lives: How Culture Shapes the Economy"" de Viviana Zelizer fue publicado originalmente por Princeton University Press en 2010."
zenobi diego,"familia, política y emociones: las víctimas de cromañón entre el movimiento y el estado",2014,2014.0,0.0,alta,La edición registrada en 2014 por Editorial Antropofagia es la primera edición original de la obra.
zenobi diego,mana,2010,2010.0,0.0,alta,"El capítulo ""El antropólogo como 'espía'. De las acusaciones públicas a la construcción de las perspectivas nativas"" de Diego Zenobi fue publicado en la obra ""Mana"" en 2010."
zimmerman francis,enquete sur la parenté,1993,1993.0,0.0,alta,"La obra ""Enquête sur la parenté"" de Francis Zimmermann fue publicada originalmente en francés en 1993 por Presses Universitaires de France."
águila gabriela,"historia de la última dictadura militar, argentina, 1976-1983",2023,2023.0,0.0,alta,"La obra ""Historia de la última dictadura militar, Argentina, 1976-1983"" de Gabriela Águila fue publicada originalmente en 2023 por Siglo XXI Editores."
"álvarez broz mariana, elizalde silvia","lado b. insumisiones, potencias y modos de habitar la sexualidad y el género",2022,2022.0,0.0,alta,"La edición que tengo registrada (2022) coincide con el año de publicación original de la compilación ""Lado B. Insumisiones, potencias y modos de habitar la sexualidad y el género"" por Grupo Editor Uni"
álvarez lucía,anfibia,2023,2023.0,0.0,alta,"El artículo ""Una apuesta por el riesgo"" de Lucía Álvarez fue publicado originalmente en la Revista Anfibia el 6 de junio de 2023."
álvarez lucía,mayo 68,2018,2018.0,0.0,alta,"La obra ""Mayo 68"" de Lucía Álvarez fue publicada originalmente en 2018 por Editorial Ariel."
"álvarez lucía, d'alessio gloria, coletta carla",anfibia,2023,2023.0,0.0,alta,"El artículo ""El sociólogo en busca del escritor"" de Lucía Álvarez, Gloria D'Alessio y Carla Coletta fue publicado originalmente en la Revista Anfibia el 28 de marzo de 2023."
"álvarez lucía, focas brenda",escribir lo social. entre los géneros académicos y sus fronteras,2023,2023.0,0.0,alta,"La obra ""Escribir lo social. Entre los géneros académicos y sus fronteras"" de Lucía Álvarez y Luciana Strauss (no Brenda Focas) fue publicada por Unsam Edita en 2023."
"álvarez lucía, focas brenda",la escritura en ciencias sociales,2023,2023.0,0.0,alta,"La obra ""La escritura en ciencias sociales"" de Lucía Álvarez y Brenda Focas (y otros autores) fue publicada por UNSAM Edita en 2023. El capítulo ""Escritura y trabajo de campo"" es parte de esta compila"
"álvarez lucía, mastronardi bárbara, strauss luciana",papeles de trabajo,2023,2023.0,0.0,alta,"El artículo ""La escritura en ciencias sociales, ese objeto esquivo"" de Álvarez, Mastronardi y Strauss fue publicado en 2023 en la revista ""Papeles de trabajo""."
"álvarez lucía, strauss luciana",escribir lo social. entre los géneros académicos y sus fronteras,2023,2023.0,0.0,alta,"La edición registrada (2023) coincide con el año de la primera publicación original de la obra, según múltiples fuentes que la reseñan y listan."
aguirre patricia,anfibia,2024,2019.0,5.0,alta,"El artículo ""Con la democracia se come"" de Patricia Aguirre fue publicado en la revista Anfibia en mayo de 2019."
darwin charles,diario de la patagonia. notas y reflexiones de un naturalista sensible,2006,1839.0,167.0,alta,"""Diario de la Patagonia. Notas y reflexiones de un naturalista sensible"" es una compilación de los escritos de Charles Darwin sobre la Patagonia, extraídos de su obra original ""Journal of Researches i"
"das veena, poole deborah",cuadernos de antropología social,2008,2004.0,4.0,alta,"El artículo ""El estado y sus márgenes: Etnografías comparadas"" de Veena Das y Deborah Poole fue publicado originalmente en inglés en 2004 como parte del libro ""Anthropology in the Margins of the State"
"daza prado daniel, di próspero carolina","las etnografías de lo digital. otras formas de estar ""allí""",2024,2024.0,0.0,alta,"La obra ""Las etnografías de lo digital. Otras formas de estar allí"" de Daza Prado y Di Próspero fue publicada por UNSAM Edita en 2024."
cortés fernando,"método científico y política social: a propósito de
las evaluaciones cualitativas de programas sociales",2008,2008.0,0.0,alta,"El capítulo ""Causalidad y evaluación del impacto de la política"" de Fernando Cortés fue publicado originalmente en la compilación ""Método científico y política social: a propósito de las evaluaciones "
"cortés fernando, rubalcava rosa",matemáticas y ciencias sociales,1993,1993.0,0.0,alta,"El capítulo ""Consideraciones sobre el uso de la estadística en ciencias sociales. Estar a la moda o pensar un poco"" de Fernando Cortés y Rosa María Rubalcava fue publicado en la obra ""Matemáticas y Ci"
cosse isabella,mafalda: historia social y política,2014,2014.0,0.0,alta,La edición que tengo registrada es la primera publicación original de la obra.
cosse isabella,"pareja, familia y sexualidad en los años sesenta: una revolución discreta en buenos aires",2010,2010.0,0.0,alta,La edición que tengo registrada (2010) es la primera publicación original de la obra.
crenzel emilio,"democracia, hora cero. actores, políticas y debates en los inicios de la posdictadura",2015,2015.0,0.0,alta,"El capítulo ""Ideas y estrategias de justicia ante la violencia política y las violaciones a los derechos humanos en la transición política en Argentina (1982-1983)"" de Emilio Crenzel fue publicado ori"
