nombre_autor,genero,pais_nacimiento,region,fecha_nacimiento,fecha_muerte,disciplina,institucion,ciudad_institucion,fuente_principal,confianza,requiere_revision,wikidata_id,openalex_id,notas,pais_institucion
canguilhem georges,masculino,Francia,Europa,1904,1995,Filosofía,Universidad de la Sorbona,,wikidata,alta,False,Q433741,,,
cantoni rabolini nélida mónica,femenino,desconocido,desconocido,desconocido,,Ciencias Sociales,Universidad de Buenos Aires,Bruselas,gemini+web,media-alta,True,,,"El género se infiere por el nombre 'Nélida Mónica Cantoni Rabolini'. No se encontró información sobre su fecha de nacimiento, país de nacimiento o fecha de muerte. Aunque aparece en el CECE dictando clases de Estadística y Estadística para Administradores, y tiene una publicación sobre 'Técnicas de muestreo y determinación del tamaño de la muestra en investigación cuantitativa', no se especifica una disciplina académica clara como Sociología o Antropología. El CECE es un centro relacionado con la Facultad de Ciencias Económicas, lo que podría sugerir una relación con la economía o administración, pero no es lo suficientemente específico para determinar una disciplina de ciencias sociales. Por lo tanto, se deja como 'desconocido'. La institución principal donde aparece es el CECE.",Bélgica
cantore alfonsina,femenino,Argentina,Argentina,desconocido,,Antropología,CONICET,Buenos Aires,openalex,media,False,,https://openalex.org/A5065214154,"El género se infiere del nombre 'Alfonsina', que es un nombre femenino, y se confirma por el uso de pronombres femeninos en las descripciones de su trabajo y trayectoria académica en múltiples fuentes. El país de nacimiento se conoce previamente como Argentina y se corrobora por su afiliación al CONICET y universidades argentinas. La fecha de nacimiento no se encontró explícitamente en las fuentes consultadas. La disciplina principal es Antropología, aunque también se menciona Sociología y Etnología. Las instituciones a las que está afiliada son el CONICET, la Universidad de Buenos Aires (UBA), la Universidad Federal de Bahía y la Universidad Nacional de San Martín (UNSAM).",Argentina
caparrós martín,masculino,Argentina,Argentina,1957,,Periodismo,Universidad de Buenos Aires,Nueva York,wikidata,alta,False,Q457402,,,Estados Unidos
caratini sophie,femenino,Francia,Europa,1948,,Antropología,Instituto del Mundo Árabe,,wikidata,alta,False,Q3490872,,,
caravaca evangelina,femenino,Argentina,Argentina,desconocido,,Sociología,Universidad Nacional de San Martín (UNSAM),Buenos Aires,openalex,media,False,,https://openalex.org/A5066708612,"El género se infiere del nombre 'Evangelina' y de la forma en que se refieren a ella en las fuentes ('Licenciada', 'Doctora', 'investigadora asistente'). El país de nacimiento se conoce por la información previa y se corrobora que trabaja en instituciones argentinas. La fecha de nacimiento no se encontró en ninguna de las fuentes. La disciplina principal es Sociología, ya que es Licenciada en Sociología y Doctora en Ciencias Sociales con especialidad en Sociología, y sus temas de investigación se enmarcan en esta disciplina. Las instituciones se extrajeron de los perfiles académicos y de las afiliaciones mencionadas en las publicaciones.",Argentina
cardelli marina,femenino,Argentina,Argentina,desconocido,,Lingüística,"Universidad de Buenos Aires, Universidad Nacional de San Martín, CONICET, Cascos Blancos","Buenos Aires, San Martín",wikidata,alta,False,Q114402322,https://openalex.org/A5073293315,"Marina Cardelli es identificada como mujer en múltiples fuentes, incluyendo su rol como la primera presidenta mujer de Cascos Blancos y su activismo feminista. Es lingüista por la UBA y se desempeña como docente de Estudios del Discurso y Semiología en la UBA y UNSAM. También es becaria doctoral del CONICET. Su país de nacimiento se infiere como Argentina por su rol en Cascos Blancos, un organismo del Ministerio de Relaciones Exteriores de Argentina, y su trayectoria académica y profesional en universidades y organismos argentinos. Aunque no se encontró una fecha de nacimiento específica, una fuente menciona que en 2020 tenía 34 años, lo que situaría su año de nacimiento alrededor de 1986. Sin embargo, dado que no es una fecha explícita, se mantiene como 'desconocido' según las reglas. Su disciplina principal es la Lingüística, con un enfoque en Estudios del Discurso, aunque su trabajo también abarca temas de género y política exterior. No se encontró información sobre su fecha de muerte, por lo que se deja vacío.",Argentina
cardoso de oliveira roberto,masculino,Brasil,Latinoamérica,1928,2006,Antropología,Universidad de Brasilia,Campinas,wikidata,alta,False,Q1797439,,,Brasil
cardoso fernando henrique,masculino,Brasil,Latinoamérica,1931,,"Sociología, Ciencia Política, Economía",Universidad de São Paulo,Recife,openalex,media,False,,https://openalex.org/A5101488839,"Fernando Henrique Cardoso nació el 18 de junio de 1931 en Río de Janeiro, Brasil. Su género es masculino. Es sociólogo, politólogo, profesor universitario y escritor. Obtuvo su licenciatura en Ciencias Sociales y su doctorado en Sociología de la Universidad de São Paulo. También ha sido profesor en diversas instituciones académicas de renombre internacional, incluyendo la Universidad de Santiago (Chile), Stanford University, University of California, Berkeley, Brown University, University of Cambridge, Université Paris Nanterre, École des Hautes Études en Sciences Sociales y Collège de France. Aunque la información previa mencionaba la Universidade de Pernambuco, las fuentes web indican que su principal institución académica y donde desarrolló gran parte de su carrera fue la Universidade de São Paulo, además de las otras universidades mencionadas donde impartió clases.",Brasil
carenzo sebastián,masculino,Argentina,Argentina,desconocido,,Antropología,Universidad Nacional de Quilmes,Quilmes,openalex,media,False,,https://openalex.org/A5055602247,"El género se infiere del nombre 'Sebastián'. Se confirma que es Dr. en Antropología y Lic. en Antropología orientación Socio-cultural por la Universidad de Buenos Aires (UBA), y es Investigador Independiente del CONICET y profesor en la Universidad Nacional de Quilmes. No se encontró información sobre su fecha de nacimiento.",Argentina
carman maría,femenino,Argentina,Argentina,1971,,Antropología Social,Universidad de Buenos Aires,París,openalex,media,False,,https://openalex.org/A5109320712,"María Carman nació en Buenos Aires, Argentina, en 1971. Es Doctora en Antropología Social por la Universidad de Buenos Aires (UBA) e investigadora principal del CONICET. También es profesora de Antropología en la Facultad de Ciencias Sociales de la UBA. Su género se infiere por su nombre y por la forma en que se refieren a ella en las fuentes ('Doctora', 'Escritora', 'Profesora').",Francia
carman victoria,femenino,Argentina,Argentina,desconocido,,Biología Marina,CONICET-UNMDP,Buenos Aires,openalex,media,False,,https://openalex.org/A5007759694,"Se identificó a Victoria Carman como 'Victoria González Carman' en varias publicaciones y perfiles académicos. Su género se infiere como femenino por el nombre y por ser coautora con María Carman en varias publicaciones. No se encontró información sobre su fecha de nacimiento o país de nacimiento. Su disciplina se determinó como Antropología Ambiental, Biología de la Conservación y Ecología, basándose en su perfil de Google Scholar y en los temas de sus publicaciones. Se confirmó su afiliación con CONICET, y se agregaron IIMyC, UNMdP-CONICET e INIDEP como instituciones adicionales.",Argentina
carnese francisco,masculino,Argentina,Argentina,1941,2019,Antropología Biológica,Universidad Nacional de La Plata,Buenos Aires,openalex,media,False,,https://openalex.org/A5111423361,"Francisco Raúl Carnese nació el 15 de enero de 1941 en Avellaneda, Argentina. Falleció el 14 de junio de 2019 en la Ciudad Autónoma de Buenos Aires. Su género es masculino, como se desprende de su nombre y de las referencias biográficas que lo mencionan como 'el profesor Francisco Raúl Carnese' y 'Raúl'. Su disciplina principal fue la Antropología Biológica, habiéndose recibido de Licenciado en Antropología (Orientación Biológica) y Doctor en Ciencias Naturales. Fue una figura central de la Antropología Biológica argentina y latinoamericana. Desarrolló su actividad docente y de investigación en la Facultad de Ciencias Naturales y Museo de la Universidad Nacional de La Plata y en la Facultad de Filosofía y Letras de la Universidad de Buenos Aires, siendo decano de ambas instituciones. También se menciona su colaboración con la Universidad Maimónides.",Argentina
carpio adolfo,masculino,Argentina,Argentina,1923,1996,Filosofía,Universidad de Buenos Aires,,wikidata,alta,False,Q5657978,,,
carrasco morita,femenino,Argentina,Argentina,desconocido,,Antropología,Universidad de Buenos Aires,Buenos Aires,openalex,media,False,,https://openalex.org/A5017153390,"Morita Carrasco es consistentemente referida como 'antropóloga argentina' en múltiples fuentes, lo que indica su género femenino y su país de nacimiento. Su disciplina principal es la Antropología, y también se especializó en Filosofía del Derecho durante su doctorado en la Universidad de Buenos Aires (UBA), donde también es profesora e investigadora. No se encontró información específica sobre su año de nacimiento.",Argentina
carrasco nélida,femenino,desconocido,desconocido,desconocido,,Antropología,Universidad de Buenos Aires,Concepción,gemini+web,media-alta,True,,https://openalex.org/A5087330273,"Se encontró información sobre 'Noelia Carrasco Henríquez' que coincide con la disciplina de Antropología y publicaciones relacionadas con el contexto adicional ('cultura y pericias antropológicas'). No se encontró información específica sobre 'Nélida Carrasco' como académica en ciencias sociales con los datos solicitados, más allá de menciones en contextos no académicos o políticos. La búsqueda de 'Nélida Carrasco' arrojó resultados de una política mexicana (Nelly Carrasco Godínez), una reina de la vendimia (Nélida Morsucci), y una persona involucrada en un caso policial (Nélida Villar), ninguna de las cuales coincide con el perfil de autora académica en ciencias sociales. Sin embargo, 'Noelia Carrasco' o 'Noelia Carrasco Henríquez' aparece como Doctora en Antropología Social y Cultural de la Universitat Autónoma de Barcelona, con afiliación a la Universidad de Concepción en Chile. Sus líneas de investigación incluyen antropología aplicada y del desarrollo, ecología política y etnografías. Además, se encontró una publicación de Noelia Carrasco titulada 'Acortando brechas en torno a las políticas públicas: El caso del “Programa Familias” en Chile' en la revista Runa: archivo para las ciencias del hombre, que es relevante para el contexto de 'cultura y pericias antropológicas en la justicia penal'. Dada la similitud del nombre y la coincidencia en la disciplina y el tipo de publicaciones, se infiere que 'Nélida Carrasco' en el contexto proporcionado podría referirse a 'Noelia Carrasco Henríquez'. El género se infiere del nombre 'Nélida' y 'Noelia', que son nombres femeninos. El país de nacimiento es desconocido para Nélida Carrasco, y para Noelia Carrasco Henríquez se menciona que obtuvo su doctorado en España, pero no se especifica su país de nacimiento, aunque trabaja en Chile. La fecha de nacimiento es desconocida para Nélida Carrasco, y para Noelia Carrasco Henríquez no se encontró una fecha de nacimiento clara. La institución principal es la Universidad de Concepción, donde Noelia Carrasco Henríquez es profesora.",Chile
carrascosa joaquín,masculino,Argentina,Argentina,desconocido,,Sociología,Universidad de Buenos Aires,Buenos Aires,openalex,media,False,,https://openalex.org/A5065333592,"El género se infiere del nombre 'Joaquín' y de la forma en que se refieren a él en los perfiles académicos. El país de nacimiento se establece como Argentina, ya que es Licenciado en Sociología de la Universidad de Buenos Aires y becario posdoctoral en la misma institución, además de que sus investigaciones se centran en el Área Metropolitana de Buenos Aires. La fecha de nacimiento no se encontró en las fuentes consultadas. Se identificó a otro Joaquín Carrascosa Hernández nacido en 1788, pero su perfil es claramente distinto y no corresponde al autor buscado. La disciplina es Sociología, ya que es Licenciado en Sociología, docente de materias de la carrera de Sociología y sus temas de investigación se enmarcan en esta disciplina. Las instituciones principales son la University of Buenos Aires (UBA) y el Instituto de Investigaciones Gino Germani (IIGG-UBA), donde es docente e investigador.",Argentina
cassini lorenzo,masculino,Argentina,Argentina,desconocido,,Economía,CONICET,San Martín,openalex,media,False,,https://openalex.org/A5027627323,"Lorenzo Cassini es un economista argentino. Se desempeñó como Becario Post-doctoral del Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) y como docente de grado en Economía, Microeconomía y Macroeconomía en la Escuela de Ciencia y Tecnología de la UNSAM. Es Licenciado en Economía por la Universidad Nacional de Rosario (UNR), Magíster en Desarrollo Económico por el Instituto de Altos Estudios Sociales (IDAES) de la Universidad Nacional de San Martín (UNSAM) y Doctor en Desarrollo Económico por la Universidad Nacional de Quilmes (UNQ). Su género se infiere como masculino por su nombre 'Lorenzo' y por la forma en que se refieren a él en las fuentes ('el economista rosarino Lorenzo Cassini'). Aunque se menciona que es 'rosarino', lo que indica su lugar de origen en Rosario, Argentina, no se especifica un año de nacimiento. Su afiliación principal es con la Universidad Nacional de San Martín y el CONICET. Su disciplina es claramente Economía, con especialización en desarrollo económico, cambio estructural, industria, manufactura y comercio internacional. Ha publicado capítulos de libros como 'Más negocio financiero, menos producción: la experiencia neoliberal del gobierno de Cambiemos' con Siglo XXI Editores en 2021.",Argentina
castel robert,masculino,Francia,Europa,1933,2013,Sociología,École des Hautes Études en Sciences Sociales,París,wikidata,alta,False,Q722341,,,Francia
castellani ana,femenino,Argentina,Argentina,desconocido,,Sociología,"CONICET, Universidad de Buenos Aires, Universidad Nacional de San Martín, UMET","Buenos Aires, San Martín, Guayaquil",gemini+web,media-alta,False,,https://openalex.org/A5090427084,"Ana Castellani es consistentemente referida como 'Doctora en Ciencias Sociales', 'Magister en Sociología Económica', 'Licenciada en Sociología' y 'Profesora en Sociología' en múltiples fuentes. Su trabajo se centra en la élite económica y la relación Estado/empresarios en Argentina, lo cual se alinea con la sociología económica y la ciencia política. Se infiere su género femenino por su nombre y por su participación en informes y discusiones sobre brecha de género y la presencia de mujeres en la administración pública. Varias fuentes indican que es investigadora principal del CONICET y profesora titular de la Facultad de Ciencias Sociales de la UBA, y codirectora de la Maestría en Sociología Económica y del Observatorio de las Elites Argentinas del IDAES-UNSAM. También fue Secretaria de Gestión y Empleo Público de la Nación Argentina. Aunque no se encontró su fecha de nacimiento, se menciona que es de Argentina y ha trabajado en la administración pública de este país.","Argentina, Ecuador"
castellanos alejandro,masculino,España,Europa,desconocido,,"Estudios Urbanos, Sociología",Universidad Autónoma Metropolitana,Hermosillo,wikidata,alta,False,Q56383762,https://openalex.org/A5014605104,"Se encontró un Alejandro Castellanos que es historiador de fotografía y coautor del libro 'La ciudad de los viajeros. Travesías e imaginarios urbanos: México, 1940-2000', que es un ensayo antropológico. Este libro fue coeditado por la Universidad Autónoma Metropolitana y el Fondo de Cultura Económica. Aunque no se encontró su fecha de nacimiento, se le asocia con la Universidad de Sonora en el contexto de la investigación en ecofisiología vegetal y función de ecosistemas, y también como profesor en el Departamento de Física. Sin embargo, la información sobre el libro 'La ciudad de los viajeros' lo vincula más directamente con las ciencias sociales y la antropología, en coautoría con Néstor García Canclini, quien es doctor en filosofía y profesor e investigador en la Universidad Autónoma Metropolitana. Dada la naturaleza del libro y la coautoría con antropólogos, la disciplina más específica para este Alejandro Castellanos es Antropología. No se encontró información que confirme su nacionalidad española, ni su fecha de nacimiento. Se descartaron otros 'Alejandro Castellanos' que son nadador hondureño (nacido en 1979), consultor político cubano-americano (nacido en 1954), actor colombiano (edad 33), profesor de ingeniería en la Universidad del Sur de Florida, jugador de ajedrez español (nacido en 1998), jugador de tenis colombiano (17 años) y un abogado argentino (nacido en 1972), ya que no coinciden con la disciplina o la institución proporcionada en los datos conocidos o el contexto adicional.",México
castelli rodríguez luisina,femenino,Uruguay,Latinoamérica,1988,,Antropología,Universidad de la República,Montevideo,openalex,media,False,,https://openalex.org/A5055035871,"El género se infiere del nombre 'Luisina' y de la forma en que se refieren a ella en diversas publicaciones ('Antropóloga', 'docente-investigadora'). La fecha de nacimiento (1988) se encuentra en la biografía de un libro que co-escribió. Su país de nacimiento es Uruguay, específicamente Paysandú. Su disciplina principal es la Antropología, como se menciona en múltiples fuentes que la identifican como 'Licenciada en Ciencias Antropológicas', 'Maestranda en Antropología' y 'Antropóloga'. Además de la Universidad de la República, también realizó su doctorado en la Universidad Nacional de San Martín.",Uruguay
castilla maría victoria,femenino,Argentina,Argentina,desconocido,,Antropología,CONICET - Universidad Nacional de San Martín (UNSAM),Buenos Aires,openalex,media,False,,https://openalex.org/A5084460543,"El género se infiere del nombre 'María Victoria' y de la forma en que se refieren a ella en las publicaciones ('autora', 'investigadora'). El país de nacimiento se conoce previamente como Argentina. La fecha de nacimiento no se encontró en las fuentes consultadas. La fecha de muerte no se menciona, por lo que se asume que está viva o no se sabe. La disciplina principal es Antropología, ya que es Doctora en Antropología y se menciona en su perfil de Google Scholar y CONICET. También se menciona Sociología como disciplina científica en CONICET, pero Antropología es más específica y recurrente. Las instituciones se extraen de sus afiliaciones en CONICET, UNSAM, UNLAM y UNTREF.",Argentina
castillo alejandra,femenino,Chile,Latinoamérica,1974,,Filosofía,Universidad Metropolitana de Ciencias de la Educación (UMCE),Tucson,wikidata,alta,False,Q92953929,https://openalex.org/A5113413642,"Se encontró información sobre Alejandra Castillo, Doctora en Filosofía, nacida en Santiago de Chile en 1974. Es profesora titular del Departamento de Filosofía de la Universidad Metropolitana de Ciencias de la Educación (UMCE) y directora de la Revista de Cultura Papel Máquina. También se menciona su trabajo con la editorial Palinodia. Su género se identifica como femenino en varias fuentes.",Estados Unidos
castoriadis cornelius,masculino,Turquía,Europa,1922,1997,"Filosofía, Sociología, Economía, Psicoanálisis",École des Hautes Études en Sciences Sociales (EHESS),París,gemini+web,media-alta,False,Q126017701,https://openalex.org/A5086952499,"Cornelius Castoriadis nació el 11 de marzo de 1922 en Estambul, Turquía. Su género es masculino, como se desprende de su nombre y de todas las biografías consultadas. Falleció el 26 de diciembre de 1997 en París, Francia. Fue un filósofo, sociólogo, economista y psicoanalista. Trabajó como director de estudios en la École des Hautes Études en Sciences Sociales (EHESS) en París.",Francia
castro edgardo,masculino,Argentina,Argentina,1962,,Filosofía,"Universidad de Friburgo, CONICET, Centro de Investigaciones Filosóficas, Universidad Nacional de San Martín, Universidad de Buenos Aires","Friburgo de Brisgovia, Buenos Aires, San Martín",openalex,media,False,,https://openalex.org/A5102426806,"Se encontró información sobre dos personas llamadas Edgardo Castro. Uno es un actor y director nacido en 1970 en Buenos Aires, Argentina. El otro es un académico, doctor en Filosofía, nacido en 1962. Dada la disciplina 'Filosofía' proporcionada en los datos conocidos y los títulos de publicaciones relacionados con 'arqueología', 'episteme', 'genealogía' y 'poder', se concluye que el autor académico buscado es el filósofo Edgardo Castro. Su género es masculino, su país de nacimiento es Argentina y su año de nacimiento es 1962. Ha obtenido su doctorado en Filosofía por la Universidad de Friburgo (Suiza) y es investigador del CONICET, miembro del Centro de Investigaciones Filosóficas (Buenos Aires) y profesor universitario en la Universidad Nacional de San Martín y la Universidad de Buenos Aires.","Alemania, Argentina"
castro román,masculino,España,Europa,1960,,Ciencia Política,Universidade de Vigo,Vigo,openalex,media,False,,https://openalex.org/A5004052672,"Se encontró información sobre un Román Castro nacido en Barcelona, España, en 1960, que es sociólogo y politólogo. Actualmente es Vicedecano del Instituto de Ciencias Empresariales IMF (IMF ICE), centro adscrito a la Universidad Camilo José Cela. No se encontró información que lo vincule directamente con la Universidade de Vigo o con la disciplina de Estudios de Género, ni con las publicaciones o editoriales mencionadas en el contexto adicional. Se descartaron otros perfiles de 'Román Castro' o 'Román de Castro' por no coincidir con el país de origen (España) o la disciplina de ciencias sociales.",España
castronuovo sabrina,femenino,desconocido,desconocido,desconocido,,Historia,,,gemini+web,media-alta,True,,https://openalex.org/A5002075286,"El género se infiere del nombre 'Sabrina' y de la referencia a 'militancia femenina peronista' en sus publicaciones. La disciplina se determina por el título de su publicación principal 'El rol de la Revolución Libertadora en el encarcelamiento de la militancia femenina peronista (1955-1958)' y por la revista en la que se publicó, 'Revista de Historia del Derecho'. También se menciona su participación en 'La violencia en la conformación del orden político latinoamericano (siglos XIX y XX)', lo que refuerza la disciplina de Historia. No se encontró información sobre su país de nacimiento, fecha de nacimiento o institución principal.",
cattaneo alicia,femenino,Argentina,Argentina,1939,2025,Antropología,Universidad de Buenos Aires,,openalex,media,False,,https://openalex.org/A5027843466,"Alicia Cattaneo es identificada como mujer por su nombre y por las referencias en los artículos. Nació en Argentina, específicamente en Rafaela, donde desarrolló gran parte de su carrera deportiva y docente. Murió a los 86 años en 2025, lo que permite calcular su año de nacimiento como 1939. Su disciplina principal es la Educación Física, siendo reconocida como profesora y deportista destacada en básquet y otras disciplinas. Aunque se mencionan publicaciones académicas como 'Canibalismo y pobreza' en coautoría, estas parecen ser más bien un análisis antropológico de un fenómeno social, y no la disciplina principal de Alicia Cattaneo, quien es consistentemente referenciada como docente y deportista. No se encontró información sobre una institución académica principal asociada a ella en el ámbito de las ciencias sociales, más allá de su rol docente en escuelas de Rafaela.",
cattaruzza alejandro,masculino,Argentina,Argentina,1958,,Historia,Universidad de Buenos Aires,,wikidata,alta,False,Q50846614,,,
cavalcanti-schiel ricardo,masculino,Brasil,Latinoamérica,desconocido,,Antropología,Universidade Federal do Rio Grande do Sul,Porto Alegre,openalex,media,False,,https://openalex.org/A5009362601,"El género se infiere del nombre 'Ricardo' y de la forma en que se le refiere en diversas publicaciones y perfiles académicos. El país de nacimiento es Brasil, dato proporcionado en la información inicial. La fecha de nacimiento no se encontró explícitamente en las fuentes consultadas. La disciplina se identifica como Antropología, ya que es el departamento al que pertenece en la Universidade Federal do Rio Grande do Sul y es la disciplina mencionada en su perfil de Google Académico. La institución es la Universidade Federal do Rio Grande do Sul, dato proporcionado y confirmado por las fuentes.",Brasil
cayón luis,masculino,Colombia,Latinoamérica,1973,,Antropología,Universidad de Brasilia,,wikidata,alta,False,Q31074430,,,
cazeneuve jean,masculino,Francia,Europa,1915,2005,Sociología,Universidad de la Sorbona,,wikidata,alta,False,Q3171181,,,
cea d'ancona maría ángeles,femenino,España,Europa,desconocido,,Sociología,Universidad Complutense de Madrid,Madrid,openalex,media,False,,https://openalex.org/A5019298569,"El género se infiere del nombre 'María Ángeles' y de la forma en que se refieren a ella en las fuentes ('Catedrática', 'Doctora'). Su nacionalidad es española, ya que trabaja en la Universidad Complutense de Madrid y su tesis doctoral fue en España. No se encontró una fecha de nacimiento explícita. La disciplina principal es Sociología, ya que es Catedrática de Sociología y directora del grupo de Estudios sobre Migraciones Internacionales (GEMI) en el Departamento de Sociología: Metodología y Teoría de la Universidad Complutense de Madrid. Su institución principal es la Universidad Complutense de Madrid.",España
ceballos bedoya nicolás,masculino,Colombia,Latinoamérica,desconocido,,"Historia, Derecho",Universidad de Antioquia,Medellín,openalex,media,False,,https://openalex.org/A5059749016,"El género se infiere del nombre 'Nicolás' y de su aparición como 'Abogado' y 'Profesor' en diversas fuentes académicas. Su nacionalidad colombiana se confirma por su afiliación a universidades en Colombia (Universidad EAFIT, Universidad Nacional de Colombia, Universidad de Antioquia) y por el contexto de sus publicaciones. No se encontró una fecha de nacimiento específica. Su disciplina se determina por su formación como abogado y candidato a magíster en Historia, así como por el enfoque de sus publicaciones en derecho colonial e historia. Las instituciones a las que está afiliado son la Universidad de Antioquia, la Universidad EAFIT y la Universidad Nacional de Colombia.",Colombia
cebolla badie marilyn,femenino,España,Europa,desconocido,,Antropología,Universidad de Buenos Aires,Barcelona,openalex,media,False,,https://openalex.org/A5048287941,"El género se infiere por el nombre 'Marilyn' y por el uso constante de pronombres femeninos en todas las fuentes consultadas que se refieren a ella como 'Doctora Marilyn Cebolla Badie', 'la autora', 'la especialista', 'ella', etc.. No se encontró información explícita sobre su fecha o país de nacimiento. Se doctoró en Antropología Social en la Universidad de Barcelona en 2013. También es Licenciada en Antropología Social por la Universidad Nacional de Misiones (1999) y Magíster en Antropología Social por la Universidad de Barcelona (2005). Su disciplina principal es la Antropología Social, con especialización en etnología de pueblos guaraníes, relación naturaleza-cultura, etnobiología, relaciones interétnicas en Misiones, memoria e historia. Actualmente es profesora adjunta en el Departamento de Antropología Social de la Facultad de Humanidades y Ciencias Sociales y profesora del Programa de Posgrado en Antropología Social de la Universidad Nacional de Misiones (UNaM). También es investigadora de la Universidad Nacional de Misiones y de la Universidad de Barcelona.",España
celiv,desconocido,desconocido,desconocido,desconocido,,Demografía,Universidad Nacional de Tres de Febrero (UNTREF),Caseros,wikidata,alta,True,Q103828113,,"La búsqueda de 'Celiv' como autor académico, junto con los títulos de publicaciones y editoriales proporcionados, indica que 'CELIV' no es el nombre de un autor individual, sino el acrónimo del 'Centro de Estudios Latinoamericanos sobre Inseguridad y Violencia' de la Universidad Nacional de Tres de Febrero (UNTREF). Este centro realiza investigaciones y publicaciones en el campo de las ciencias sociales, específicamente en temas de seguridad ciudadana, violencia, delito y estudios de población. Dado que las publicaciones mencionadas ('capítulo 5: características demográficas de víctimas e inculpados por homicidio doloso en argentina. estudio sobre homicidios en argentina: un análisis del período 2001-2021') se centran en características demográficas y estudios de población, la disciplina más específica es Demografía. No se encontró información sobre un autor individual llamado 'Celiv', ni datos de nacimiento, género o país de nacimiento asociados a ese nombre como persona.",Argentina
cepal,otro,Italia,Europa,1948,,"Economía, Sociología, Ciencias Políticas",Naciones Unidas,Pisa,openalex,media,True,,https://openalex.org/A5036165836,"CEPAL no es un/a autor/a académico/a individual, sino la sigla de la Comisión Económica para América Latina y el Caribe, una de las cinco comisiones regionales de las Naciones Unidas. Fue establecida en 1948 con el propósito de contribuir al desarrollo económico de América Latina, coordinar acciones y reforzar los lazos económicos. Posteriormente, su labor se amplió para incluir a los países del Caribe y el objetivo de promover el desarrollo social. La CEPAL se dedica a la investigación social, económica y de relaciones internacionales. Sus áreas de trabajo incluyen el desarrollo económico, el desarrollo social, asuntos de género, comercio internacional, recursos naturales, planificación para el desarrollo, población y desarrollo, producción, productividad y gestión, y estadísticas. Publica estudios y análisis sobre tendencias económicas y sociales, industrialización, distribución del ingreso, desarrollo tecnológico y sistemas monetarios. También se enfoca en la igualdad de género y la autonomía de las mujeres dentro de las estrategias de desarrollo. Por lo tanto, no tiene una fecha de nacimiento, género o país de nacimiento como un individuo. La disciplina se infiere de sus áreas de trabajo y publicaciones, que abarcan la economía, la sociología (desarrollo social, panorama social) y la ciencia política (gobernanza, políticas públicas). La institución principal es la propia CEPAL, que forma parte de las Naciones Unidas.",Italia
ceriani cernadas cesar,masculino,Argentina,Argentina,desconocido,,Antropología Sociocultural,Universidad de Buenos Aires,Buenos Aires,openalex,media,False,,https://openalex.org/A5077008765,"El género se infiere del nombre 'Cesar' y de la forma en que se refieren a él en las fuentes ('Licenciado y Doctor', 'investigador', 'profesor'). No se encontró información explícita sobre su fecha de nacimiento. Su país de nacimiento es Argentina, ya que es Licenciado y Doctor por la UBA e investigador del CONICET en Argentina. Su disciplina principal es Antropología Sociocultural, siendo Licenciado y Doctor en esta área por la UBA, e investigador en Antropología de la Religión en CONICET. Las instituciones a las que está afiliado son la Universidad de Buenos Aires (UBA), el CONICET y FLACSO Argentina.",Argentina
cerruti marcela,femenino,Argentina,Argentina,desconocido,,Sociología,"Centro de Estudios de Población (CENEP), CONICET, Universidad de Buenos Aires (UBA)",Buenos Aires,gemini+web,media-alta,False,,https://openalex.org/A5009827606,"El género se infiere del nombre 'Marcela' y de su participación en estudios sobre la participación de las mujeres en el mercado laboral. Se la identifica como directora del Centro de Estudios de Población (CENEP) y se menciona su afiliación con CONICET. Su trabajo sobre 'Determinantes de la participación intermitente de las mujeres en el mercado de trabajo del Área Metropolitana de Buenos Aires' y otros estudios relacionados con el mercado laboral y género la ubican en el campo de la Sociología o Demografía. Dada la especificidad de su investigación, se opta por Sociología. No se encontró información sobre su fecha de nacimiento o muerte. Se descarta la información de Gabriela Cerruti y María del Carmen Cerruti ya que son personas diferentes, aunque se menciona una 'María Marcela' como hermana de María del Carmen Cerruti, no hay indicios de que sea la misma académica. También se descarta a Estela Soledad Cerruti, quien es Doctora en Química.",Argentina
cerrutti marcela,femenino,Argentina,Argentina,desconocido,,"Sociología, Demografía",Centro de Estudios de Población (CENEP) y Universidad Nacional de San Martín (UNSAM),San Juan,openalex,media,False,,https://openalex.org/A5008044630,"Marcela Cerrutti es Licenciada y Profesora en Sociología de la Universidad de Buenos Aires, Master en Ciencias Sociales de FLACSO Buenos Aires y Doctora en Sociología con especialidad en Demografía de la Universidad de Texas en Austin. Es investigadora principal del CONICET en el área de Sociología y Demografía. También es profesora titular en la Licenciatura en Sociología de la Universidad Nacional de San Martín. Ha sido directora del CENEP y vicepresidenta de la Asociación Latinoamericana de Población. Su género se infiere por su nombre y por la información biográfica que la describe como 'Licenciada y Profesora' y 'Doctora'. No se encontró información sobre su fecha de nacimiento o muerte.",Argentina
ceruti maría constanza,femenino,Argentina,Argentina,1973,,Antropología,Universidad Católica de Salta,Salta,wikidata,alta,False,Q10862951,,,Argentina
cerutti simona,femenino,Italia,Europa,1954,,Historia,Escuela de Estudios Superiores en Ciencias Sociales,París,wikidata,alta,False,Q64909984,,,Francia
